i_mean,q_mean,i_std,q_std,i_var,q_var,iq_cov,amplitude_mean,amplitude_std,amplitude_var,phase_mean,phase_std,real_kurtosis_like,imag_kurtosis_like,papr_db,snr_db,channel_type,modulation
-0.0036675644563707393,0.027904075455573125,0.7077600384449351,0.70653171164302,0.5009242720195759,0.49918705955721554,0.012006412415969957,1.000170496211292,0.023714943418042547,0.0005623985413209596,0.04435270643374632,1.7598530483920305,1.004565393938419,1.010821437353862,0.7894488895849278,29.418716023046116,Rayleigh,QPSK
-0.00799567777353109,-0.0045442664485030645,0.7111953135878584,0.7097216733039202,0.5057987740693323,0.5037048535573165,0.005044434261350451,1.0020310278717293,0.0743103494110191,0.005522028029587748,-0.015886605225896477,1.7654644574724536,1.0438363423680443,1.043121662228692,1.9222731009015768,19.567337601318073,AWGN,QPSK
-0.005260975463346392,-0.002598638834051494,0.7246238664754626,0.726739066834373,0.5250797478658491,0.5281496712632952,-0.0024110613408418525,1.0125265492168534,0.167492796999664,0.028053837046770648,-0.008039500067734557,1.7669737527282356,1.210745265406091,1.2089717265978919,3.9302087718361007,12.473993178677578,Rayleigh,QPSK
0.005983836821310882,0.010407534974346589,0.7104401330371786,0.7097229484633748,0.504725182629884,0.5037066635755462,-0.009727562836939206,1.002717608361527,0.055976487693634565,0.0031333671745156218,0.036668618450057845,1.751142449412155,1.024954993846629,1.0266048848050509,1.574811267999624,21.954930336219324,Rayleigh,QPSK
0.01015297797225002,0.0014745600887319812,0.7074273031047263,0.7077406300255886,0.5004533891780263,0.5008967993890171,-0.00812679853183844,1.0004402628985198,0.023973448390748293,0.0005747262277438718,0.017119846866527313,1.7462842205339266,1.0053242026796603,1.0045658765620264,0.8739414869708485,29.429989336608305,Rayleigh,QPSK
0.010460792615133949,0.0005771856422643562,0.7330252819338956,0.7296072915664692,0.5373260639542671,0.5323267999069589,0.016653487534365748,1.0168345738909865,0.18923550017521656,0.03581007452656439,-0.018393441770926378,1.759022757811565,1.2656534052556876,1.2600880244148387,4.04628319361744,11.449599668126138,Rayleigh,QPSK
0.00857635706075277,0.0017510934722383253,0.7103790382129007,0.7099260397477813,0.5046383779322858,0.5039949819119683,0.0032319275004688555,1.0023169701886396,0.06380181302205978,0.004070671344901877,0.0006910485473250699,1.7491958382330588,1.0342095331789674,1.032410059362518,1.8083602824474967,20.80407226628192,Rayleigh,QPSK
0.008259549324304708,0.012788338622162745,0.7121514413618922,0.7127157737082808,0.5071596754338207,0.5079637740925933,0.0019462420147644815,1.0038154845204497,0.08780480808671577,0.007709684323144987,0.022118854092632007,1.749759160369228,1.0613805723932537,1.0631761387038674,2.118429455550142,17.986919821174816,Rayleigh,QPSK
-0.00575306678427252,0.005047703773197401,0.7434069992355318,0.7365844844351733,0.552653966512378,0.5425567027106301,0.0012104812995131805,1.024439943014287,0.2139907695922852,0.04579204947069849,-0.0015089844385219647,1.7750632699214317,1.3289914275277384,1.3272205148272989,4.503032467785965,10.231271120317405,AWGN,QPSK
0.001877373739435499,0.0033022353375587402,0.7082300151964057,0.707666517132327,0.5015897544251011,0.5007918994701981,0.0013245525718649685,1.000532253537833,0.03648688553695543,0.0013312928161868872,0.003604991950280014,1.7554016738919238,1.0107893077678813,1.0107474776296903,1.004937214091878,25.690227480029236,AWGN,QPSK
